measure,location,sex,age,cause,rei,metric,year,val,upper,lower
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Number,2010,1028448.8291085026,1084321.961433324,973854.8662651448
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Number,2010,212730.8522868192,226831.93653737663,195172.4886880846
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Number,2010,341404.69766516524,373164.2268603759,311656.1752049489
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Percent,2010,0.7742909742273715,0.7889673377145514,0.7598258072988815
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Percent,2010,0.8833469574617537,0.9021816165999188,0.8658431686399708
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Percent,2010,0.42005594916944017,0.4403370462241974,0.4002159576699361
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Percent,2010,0.6740629642581726,0.7221901512720319,0.6321719582417938
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Number,2014,952816.0495769123,1012944.1411694733,893500.6561024375
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Number,2014,1091573.9610267058,1160851.9030837668,1023303.05961252
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Number,2014,229163.27263085544,245016.44352997563,210093.89543200293
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Number,2014,372412.9159026803,408618.31614789064,337362.32489549887
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Percent,2014,0.7683597187178403,0.7833151328816095,0.7533254086737895
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Percent,2014,0.8802727893970979,0.9001954410066786,0.862204666404097
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Percent,2014,0.40981360008103473,0.4305082817845885,0.39029442657934876
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Percent,2014,0.6658968477143853,0.7162010603019346,0.6231860884034142
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Number,2000,743048.5673438925,773964.0115204124,714868.9963173461
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Number,2000,837869.7844793664,872893.8424226582,803991.3304336636
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Number,2000,167352.45091818125,177020.51639794165,157334.80976899734
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Number,2000,260525.6864796496,281144.8100037987,241341.3028062493
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Percent,2000,0.7878439912956823,0.8022265506746461,0.7739556467576771
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Percent,2000,0.8883794494248175,0.9047765630547075,0.8728043660914794
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Percent,2000,0.4426415857540818,0.4622982436233723,0.42165748145581583
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Percent,2000,0.6889979368857697,0.7310488955927692,0.649187487545167
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Number,1996,699019.2974129803,725663.6479227648,673605.7116671137
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Number,1996,786544.9971536283,816648.5773919333,756664.8602990459
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Number,1996,147901.90862131692,156203.6058620472,139260.51553718222
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Number,1996,230216.83764616886,248089.4875760034,214459.54998908585
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Percent,1996,0.7910843182867089,0.8050085574422434,0.7769800195250935
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Percent,1996,0.8901344249937767,0.9055285076791711,0.8745107579304394
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Percent,1996,0.4459180844961396,0.467549554729018,0.4249933490973415
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Percent,1996,0.6939875459097973,0.7353629539677065,0.6537900345212071
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Number,1999,728644.4059943212,757104.0529338198,699941.9858438182
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Number,1999,821081.9354361738,853015.273314687,787380.923444643
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Number,1999,161669.53512942078,171089.209228015,151923.25611283153
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Number,1999,251268.7139996384,270788.13650850975,231826.12918373762
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Percent,1999,0.7887391850963362,0.8026054794608871,0.7746725121149537
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Percent,1999,0.8888019567669466,0.9048690350417868,0.8733127426873172
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Percent,1999,0.44421867651929836,0.4638540301608047,0.4232263006975088
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Percent,1999,0.6903106108474258,0.7312519545638356,0.6504588248874468
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Number,2018,1029210.3181509937,1128132.069810082,937784.4037880112
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Number,2018,1181061.913050098,1292346.6578986982,1076152.2688430778
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Number,2018,247689.13858309324,268364.8040003322,226046.49510610546
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Number,2018,411470.27503824973,461324.0951219268,366941.22909583006
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Percent,2018,0.7630515785995065,0.7786632050538953,0.7479495075052651
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Percent,2018,0.8756931125196753,0.8964389640977158,0.857080639668285
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Percent,2018,0.39297121705845267,0.4139181759525414,0.3718084277428834
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Percent,2018,0.6525823445797049,0.7036029433357068,0.6068367826312498
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Number,1997,702808.9441692139,729216.2562535766,676383.0601861179
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",All risk factors,Number,1997,791379.4557926442,822502.9470447665,761739.0571605465
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Number,1997,152244.6549448376,160803.61887448278,143123.4849147822
