measure,location,sex,age,cause,rei,metric,year,val,upper,lower
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Environmental/occupational risks,Number,2002,375659.6484,437220.952,311859.9689
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Particulate matter pollution,Number,2002,198798.8633,248935.0265,151891.4172
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Air pollution,Number,2002,79668.27187,99115.81203,60695.96286
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Ambient particulate matter pollution,Number,2002,46211.11722,61033.47047,31669.94012
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Household air pollution from solid fuels,Number,2002,33449.53821,46487.828,22456.57128
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Residential radon,Number,2002,16857.90094,32941.95751,3275.424561
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Tobacco,Number,2002,196587.3316,211631.8715,182386.5376
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Number,2002,177378.271,188804.5509,165418.8778
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Secondhand smoke,Number,2002,29636.67891,43494.9128,18120.33482
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",High fasting plasma glucose,Number,2002,27637.00012,65339.17381,5245.997258
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Dietary risks,Number,2002,17628.03387,26239.05255,5330.643978
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Diet low in fruits,Number,2002,17628.03387,26239.05255,5330.643978
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Environmental/occupational risks,Number,2002,117814.2669,140150.9605,96035.96453
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Particulate matter pollution,Number,2002,79668.27187,99115.81203,60695.96286
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Air pollution,Number,1998,182366.0699,229623.8091,138288.9519
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Ambient particulate matter pollution,Number,1998,111432.0089,147065.5437,76617.53813
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Household air pollution from solid fuels,Number,1998,70985.13307,100128.6634,45789.44182
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Residential radon,Number,1998,39644.96444,76077.33415,7768.538213
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Tobacco,Number,1998,721352.4949,751014.3196,693171.6937
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Smoking,Number,1998,712348.2029,740432.7069,683246.5261
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Secondhand smoke,Number,1998,44831.33953,66529.61048,26686.85287
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",High fasting plasma glucose,Number,1998,61966.96451,147089.0417,10183.19818
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Dietary risks,Number,1998,39734.0156,58944.58952,12450.46797
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Diet low in fruits,Number,1998,39734.0156,58944.58952,12450.46797
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Environmental/occupational risks,Number,1998,346644.1212,403220.8191,286291.2796
Deaths,Global,Male,All ages,"Tracheal, bronchus, and lung cancer",Particulate matter pollution,Number,1998,182366.0699,229623.8091,138288.9519
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Air pollution,Number,1998,70133.40369,87984.36825,52846.64676
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Ambient particulate matter pollution,Number,1998,38262.03957,51629.08199,25977.9528
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Household air pollution from solid fuels,Number,1998,31888.498,43363.104,21457.59897
Deaths,Global,Female,All ages,"Tracheal, bronchus, and lung cancer",Residential radon,Number,1998,14788.12089,28545.87975,2895.215414
